Parent Entity,Child Entity,Ownership %
Meridian Vantage Holdings Inc,Meridian Vantage Technologies LLC,100
Meridian Vantage Holdings Inc,Meridian Vantage Logistics LP,60
Cobalt Ridge Capital LLC,Meridian Vantage Logistics LP,40
Meridian Vantage Holdings Inc,Sablefin Analytics Inc,85
Cobalt Ridge Capital LLC,Northgate Materials Corp,55
Lumen Delta Trust,Northgate Materials Corp,30
Alderwood Ventures Pte Ltd,Alderwood Pacific Sdn Bhd,100
Praxis Nordisk Holding AB,Praxis Nordisk Energi AS,70
Meridian Vantage Holdings Inc,Meridian Vantage Foundation,100
Cobalt Ridge Capital LLC,Cobalt Ridge Realty Trust,100
Alderwood Ventures Pte Ltd,Ironvale Steelworks Pty Ltd,100
Praxis Nordisk Holding AB,Aventine Retail SARL,100
Meridian Vantage Technologies LLC,Verdant Bay Renewables LLC,50
Sablefin Analytics Inc,Verdant Bay Renewables LLC,50
Sablefin Analytics Inc,Sablefin Data Services GmbH,100
Meridian Vantage Technologies LLC,Harborlight Studios Inc,75
Alderwood Pacific Sdn Bhd,Kestrel Andes SpA,59.5
Alderwood Ventures Pte Ltd,Kestrel Andes SpA,40.5
Meridian Vantage Logistics LP,Torrelago Servicios SA de CV,100
Alderwood Pacific Sdn Bhd,Halcyon Gulf Trading LLC,65
Praxis Nordisk Holding AB,Halcyon Gulf Trading LLC,35
Northgate Materials Corp,Quillon Aerospace Inc,100
Praxis Nordisk Energi AS,Brightmoor Insurance Holdings Ltd,80
Cobalt Ridge Realty Trust,Marlowe Peak Ventures GP,100
Sablefin Data Services GmbH,Silverbrook Pharma Ltd,100
Verdant Bay Renewables LLC,Zephyr Line Shipping Ltd,90
